title,isbn
The Fountainhead,9780451191151
The Five People You Meet in Heaven,9781401308582
Lady Chatterley's Lover,9780141192571
Ulysses,9780679722762
Leaves of Grass,9780140421996
A Separate Peace,9780743253970
Tuesdays with Morrie,9780767905923
Waiting for Godot,9780571229116
The Trial,9780805210408
Rapunzel,9781509839564
Tender Is the Night,9780684801544
As I Lay Dying,9780679732259
David Copperfield,9781853260247
The Sun Also Rises,9780743297332
Flowers for Algernon,9780156030083
"The Godfather (The Godfather, #1)",9780451205766
A Clockwork Orange,9780393312836
"Night (The Night Trilogy, #1)",9780374500016
The Art of War,9781599869778
War and Peace,9781400079988
Don Quixote,9780060934347
Oliver Twist,9780141439747
Othello,9780141012311
One Flew Over the Cuckoo's Nest,9780451163967
Siddhartha,9780553208849
The Joy Luck Club,9780143038092
"The Shadow of the Wind (The Cemetery of Forgotten Books, #1)",9780143034902
The Outsiders,9780142407332
A Room of One's Own,9780156787338
One Hundred Years of Solitude,9780060883287
The Metamorphosis,9780553213690
The Kite Runner,9781594631931
Anna Karenina,9780143035008
The Da Vinci Code,9780307474278
Gone with the Wind,9781451635621
The Return of the King,9780547928197
Sense and Sensibility,9780141439662
Romeo and Juliet,9780743477116
The Bell Jar,9780061148514
The Perks of Being a Wallflower,9780671027346
Little Women,9780142408766
Wuthering Heights,9780141439556
1984,9780451524935
The Picture of Dorian Gray,9780141439570
The Diary of a Young Girl,9780553577129
To Kill a Mockingbird,9780061120084
"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",9780590353403
Pride and Prejudice,9780141439518
"Harry Potter and the Goblet of Fire (Harry Potter, #4)",9780439139595
The Great Gatsby,9780743273565
My Struggle: Book 1,9780914671397
Unless,9780375726956
"El príncipe de la niebla (Niebla, #1)",9788408093295
"It Ends with Us (It Ends with Us, #1)",9781501110368
"The Prophecy: The girl will be born of two foes, created to conquer and devastate the lands. They will all fall",
Split Rock,
"This Is Water: Some Thoughts, Delivered on a Significant Occasion, about Living a Compassionate Life",9780316068255
